epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,49796.6,1.01316,1.54284,1.18911,0.01765,1.17911,0.6704,0.72701,0.76669,0.57282,0.6728,0.72052,0.76513,0.55719,0.60509,0.91813,0.54805,0.01574,0,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,50789.4,1.00879,1.53848,1.18172,0.01765,1.16471,0.6686,0.7726,0.77671,0.59025,0.67091,0.7754,0.77881,0.57587,0.60016,0.90017,0.54921,0.01558,0,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,51785.7,1.00388,1.53731,1.17388,0.01742,1.15558,0.68574,0.76079,0.78359,0.59415,0.68965,0.76187,0.78539,0.57332,0.59817,0.89368,0.55455,0.01554,0,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,52780.6,1.00757,1.53914,1.16997,0.01757,1.14973,0.67765,0.74898,0.78017,0.58867,0.67926,0.75068,0.78178,0.57247,0.59149,0.89624,0.53788,0.01531,0,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,53775.7,0.99814,1.52496,1.14634,0.01735,1.11597,0.67406,0.78514,0.79106,0.59879,0.6749,0.78475,0.79036,0.57927,0.58734,0.89072,0.5452,0.01517,0,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,55992.4,0.99674,1.52186,1.14468,0.01737,1.1142,0.73012,0.7366,0.79677,0.60533,0.73029,0.73682,0.7961,0.58527,0.5858,0.88968,0.53239,0.01515,0,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,57129.7,0.99702,1.52784,1.14019,0.01734,1.09602,0.7377,0.73904,0.80096,0.60808,0.73889,0.73841,0.80017,0.58718,0.58628,0.89144,0.52861,0.01516,0,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,58130.8,0.99375,1.51238,1.12983,0.01729,1.09498,0.6913,0.79098,0.80553,0.61767,0.69158,0.78959,0.80478,0.59118,0.5875,0.88783,0.52093,0.01517,0,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,59131.3,0.9887,1.51695,1.12298,0.0172,1.07215,0.70341,0.79614,0.80786,0.6207,0.70358,0.79635,0.80714,0.59486,0.58504,0.88853,0.51676,0.01509,0,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,60130.2,0.99229,1.51428,1.12321,0.01737,1.07135,0.70551,0.7783,0.80737,0.61916,0.7068,0.77761,0.80553,0.59951,0.58516,0.88998,0.51483,0.01509,0,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,61814.3,0.98832,1.50634,1.10842,0.01719,1.04941,0.72607,0.77757,0.80883,0.61904,0.72624,0.77778,0.80314,0.59723,0.5823,0.8878,0.51891,0.01502,0,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,64075.3,0.98649,1.50462,1.10583,0.01717,1.05597,0.71378,0.78022,0.80183,0.6178,0.71394,0.78043,0.80111,0.59621,0.57944,0.88675,0.51948,0.01493,0,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,65150.8,0.98154,1.49904,1.1034,0.01702,1.04526,0.7791,0.71332,0.80716,0.62095,0.77928,0.71353,0.8044,0.59928,0.57834,0.88647,0.51727,0.01491,0,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,66146.1,0.98177,1.49272,1.08815,0.01701,1.03486,0.73479,0.74505,0.81186,0.6191,0.73496,0.74526,0.80565,0.59739,0.57915,0.88876,0.50958,0.01491,0,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,67140.2,0.97944,1.49919,1.08422,0.01706,1.0252,0.77411,0.72101,0.81553,0.6199,0.77565,0.72254,0.81074,0.59996,0.57718,0.88329,0.51147,0.01487,0,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,68429.8,0.97771,1.49152,1.07292,0.01695,1.01538,0.7756,0.71642,0.81162,0.62145,0.77963,0.71664,0.81078,0.59974,0.57667,0.88613,0.51308,0.01486,0,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,69425.9,0.9781,1.48596,1.07571,0.01692,1.02274,0.78215,0.71807,0.81283,0.6204,0.78629,0.71954,0.81262,0.59923,0.57604,0.88646,0.51369,0.01484,0,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,70421.5,0.98195,1.48478,1.0638,0.01705,0.98718,0.78301,0.72369,0.81743,0.6253,0.7845,0.72522,0.81598,0.60153,0.57581,0.8873,0.50787,0.01482,0,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,71417.5,0.97478,1.48465,1.07133,0.01692,0.99863,0.78847,0.72656,0.82085,0.62707,0.78997,0.72809,0.81805,0.60573,0.57491,0.8873,0.50608,0.01479,0,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,73700.9,0.97164,1.47515,1.06637,0.0168,0.98488,0.77735,0.73275,0.82058,0.62836,0.78027,0.73422,0.81697,0.60614,0.57677,0.88834,0.50592,0.01483,0,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,76208.2,0.97237,1.47934,1.05198,0.01682,0.96982,0.76487,0.7457,0.82119,0.62941,0.77697,0.73708,0.81955,0.60693,0.57624,0.8882,0.5038,0.01481,0,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,77206.6,0.9665,1.47649,1.04746,0.01665,0.96348,0.7644,0.74613,0.82105,0.63362,0.76632,0.74752,0.82071,0.60951,0.57503,0.8866,0.50594,0.01477,0,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,78205.1,0.97134,1.47318,1.0423,0.01679,0.94704,0.76973,0.74882,0.8197,0.63293,0.77109,0.75034,0.82009,0.61038,0.57494,0.88641,0.50194,0.01476,0,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,79203.8,0.96511,1.46819,1.03827,0.01673,0.94727,0.76079,0.75594,0.81718,0.62827,0.76213,0.75747,0.81758,0.61072,0.57426,0.88655,0.49958,0.01473,0,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,80200,0.96499,1.47081,1.04303,0.01662,0.95756,0.73443,0.76828,0.81698,0.63077,0.73571,0.7698,0.81738,0.61154,0.57444,0.88626,0.50634,0.01474,0,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,81197.3,0.97202,1.47091,1.04275,0.0168,0.94025,0.7808,0.76437,0.82054,0.63087,0.78215,0.76525,0.82091,0.61501,0.57755,0.8873,0.50085,0.01483,0,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,82195.1,0.96437,1.46359,1.02775,0.01673,0.93202,0.7764,0.76151,0.81622,0.6302,0.77776,0.76303,0.81667,0.61055,0.57814,0.88718,0.50338,0.01484,0,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,83193.3,0.96229,1.46925,1.01897,0.0166,0.92109,0.77378,0.75316,0.81719,0.63179,0.77516,0.75469,0.81754,0.61315,0.57702,0.88708,0.50525,0.01482,0,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,84191.9,0.9587,1.45863,1.01193,0.01652,0.91874,0.76481,0.77177,0.81938,0.63321,0.7661,0.7733,0.8197,0.61457,0.57775,0.88681,0.50446,0.01485,0,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,85189.6,0.96129,1.45428,1.00766,0.01656,0.91566,0.76433,0.77536,0.82027,0.63138,0.76559,0.77688,0.82065,0.6162,0.57733,0.88755,0.50201,0.01483,0,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,86187.3,0.95822,1.44961,0.9992,0.01652,0.90131,0.76208,0.78032,0.82072,0.63056,0.76226,0.78053,0.82,0.61518,0.57753,0.8876,0.49942,0.01486,0,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,87183.6,0.95871,1.45151,1.00157,0.01649,0.90047,0.76592,0.78234,0.82159,0.63025,0.76609,0.78255,0.82081,0.61556,0.57649,0.88767,0.50477,0.01483,0,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
